Five Year Age Groups and Sex - Custom Region - United States
Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
2025,90-94,2104557,743756,1360801,0.6,0.4,0.8,54.7
2025,95-99,729200,221225,507975,0.2,0.1,0.3,43.6
2025,100+,119806,30376,89430,0.0,0.0,0.1,34.0
2026,Total,346481182,170863115,175618067,100.0,100.0,100.0,97.3
2026,0-4,20903944,10680927,10223017,6.0,6.3,5.8,104.5
2026,5-9,20887302,10669271,10218031,6.0,6.2,5.8,104.4
2026,10-14,20483351,10472606,10010745,5.9,6.1,5.7,104.6
2026,15-19,21169743,10813121,10356622,6.1,6.3,5.9,104.4
2026,20-24,21933922,11189405,10744517,6.3,6.5,6.1,104.1
2026,25-29,22858007,11652067,11205940,6.6,6.8,6.4,104.0
2026,30-34,23872502,12206208,11666294,6.9,7.1,6.6,104.6
2026,35-39,23842271,12076867,11765404,6.9,7.1,6.7,102.6
2026,40-44,22256887,11150393,11106494,6.4,6.5,6.3,100.4
2026,45-49,20880592,10370207,10510385,6.0,6.1,6.0,98.7
2026,50-54,19429752,9570615,9859137,5.6,5.6,5.6,97.1
